# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
140,Extraction,Kernel PCA,0.6241692307692308,0.5843137254901961,0.58802438713793,0.5843137254901961,0.5763675102587609
140,Extraction,PCA,0.6343769230769231,0.5941176470588235,0.5986938408978744,0.5941176470588235,0.5881224706197459
140,Extraction,UMAP,0.5583384615384616,0.5458823529411765,0.5508060343359995,0.5458823529411765,0.5246704718986543
140,Selection,ANOVA F-value,0.7755846153846154,0.7015686274509805,0.7076350030284522,0.7015686274509805,0.6989399661704038
140,Selection,Chi-Squared,0.7370769230769231,0.6633333333333333,0.6660937702582757,0.6633333333333333,0.6616498668380869
140,Selection,Mutual Information,0.7489692307692307,0.6880392156862746,0.6944845853603684,0.6880392156862746,0.6846071167757161
150,Extraction,Kernel PCA,0.6199538461538462,0.5847058823529412,0.5890403287534217,0.5847058823529412,0.5761865113701035
150,Extraction,PCA,0.6314461538461538,0.5923529411764705,0.5956551140409713,0.5923529411764705,0.587181087665661
150,Extraction,UMAP,0.5538307692307692,0.5439215686274509,0.5491049826924139,0.5439215686274509,0.5243452728690764
150,Selection,ANOVA F-value,0.7767692307692307,0.7050980392156865,0.7117007888828776,0.7050980392156865,0.7022389515448989
150,Selection,Chi-Squared,0.7395461538461539,0.6733333333333333,0.6763606273374758,0.6733333333333333,0.6716009325605213
150,Selection,Mutual Information,0.7485538461538462,0.6854901960784313,0.6909014481000448,0.6854901960784313,0.6825816473627839
160,Extraction,Kernel PCA,0.6285153846153847,0.5850980392156863,0.5889892776247739,0.5850980392156863,0.5780356044506576
160,Extraction,PCA,0.6309076923076923,0.592156862745098,0.5956934243204176,0.592156862745098,0.5865324656266181
160,Extraction,UMAP,0.5612,0.5409803921568627,0.5418135765554134,0.5409803921568627,0.5183506726107927
160,Selection,ANOVA F-value,0.7794307692307691,0.707450980392157,0.7137807868320009,0.707450980392157,0.7048173889228727
160,Selection,Chi-Squared,0.7439923076923077,0.6729411764705882,0.6763630674572697,0.6729411764705882,0.6711364961166139
160,Selection,Mutual Information,0.7447999999999999,0.6782352941176469,0.6828135937710702,0.6782352941176469,0.6755036773625643
170,Extraction,Kernel PCA,0.6253461538461539,0.5862745098039216,0.5913113195485773,0.5862745098039216,0.5792652874953027
170,Extraction,PCA,0.6364461538461539,0.5937254901960783,0.5979069666478924,0.5937254901960783,0.5883045956807198
170,Extraction,UMAP,0.5582769230769231,0.5456862745098038,0.5521830975378872,0.5456862745098038,0.5256223740664696
