# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
100,Selection,Chi-Squared,0.7224810066476733,0.6574901960784314,0.6579638920443013,0.6574901960784314,0.6557096468216917
100,Selection,Mutual Information,0.7549805318138652,0.6734901960784313,0.6777187187309753,0.6734901960784313,0.6667516486345241
110,Extraction,Kernel PCA,0.570426400759734,0.5592156862745098,0.5600933345467088,0.5592156862745098,0.5480593366440091
110,Extraction,PCA,0.6213836657169991,0.5983529411764705,0.5996157140771142,0.5983529411764705,0.5885949047024823
110,Extraction,UMAP,0.5515598290598291,0.492,0.5072018714183326,0.492,0.4305367346743366
110,Selection,ANOVA F-value,0.7553380816714149,0.7128627450980393,0.7163348333472682,0.7128627450980393,0.7088119315996664
110,Selection,Chi-Squared,0.7191039886039887,0.6731764705882354,0.6744458617131064,0.6731764705882354,0.6716025212267669
110,Selection,Mutual Information,0.7586913580246913,0.7089411764705883,0.7151917895377984,0.7089411764705883,0.7055038968302927
120,Extraction,Kernel PCA,0.5675550807217473,0.5630588235294118,0.5639687561371179,0.5630588235294118,0.5563741366512883
120,Extraction,PCA,0.6431120607787274,0.5828235294117647,0.5818774179585163,0.5828235294117647,0.5741996465252768
120,Extraction,UMAP,0.5020902184235517,0.5357647058823529,0.5266153184506125,0.5357647058823529,0.46005911476191014
120,Selection,ANOVA F-value,0.7436832858499526,0.7129411764705882,0.7181372505315836,0.7129411764705882,0.7085993180141694
120,Selection,Chi-Squared,0.7160132953466288,0.6733333333333335,0.673985440507587,0.6733333333333335,0.672095046226876
120,Selection,Mutual Information,0.7289311490978158,0.6697254901960784,0.673746442662119,0.6697254901960784,0.6665290097945281
130,Extraction,Kernel PCA,0.5619278252611585,0.555450980392157,0.5529821411239039,0.555450980392157,0.5476270633459446
130,Extraction,PCA,0.5870973409306742,0.5788235294117647,0.5781450813229042,0.5788235294117647,0.5737398845936692
130,Extraction,UMAP,0.5786210826210827,0.519686274509804,0.5239898957059049,0.519686274509804,0.4628096965141454
130,Selection,ANOVA F-value,0.7490470085470086,0.7090196078431372,0.7117715531907554,0.7090196078431372,0.7054868198707702
130,Selection,Chi-Squared,0.7307222222222223,0.6773333333333333,0.6786362864091059,0.6773333333333333,0.6767743857600745
